CustomerID,Gender,Age,Annual_Income,Spending_Score,Gender_Encoded,Cluster_Raw,Cluster,Cluster_Name
52,Male,33,42,60,0,0,2,"Impulse Buyers (Low Income, High Spend)"
53,Female,31,43,54,1,0,2,"Impulse Buyers (Low Income, High Spend)"
54,Male,59,43,60,0,0,2,"Impulse Buyers (Low Income, High Spend)"
55,Female,50,43,45,1,0,2,"Impulse Buyers (Low Income, High Spend)"
56,Male,47,43,41,0,0,2,"Impulse Buyers (Low Income, High Spend)"
57,Female,51,44,50,1,0,2,"Impulse Buyers (Low Income, High Spend)"
58,Male,69,44,46,0,0,2,"Impulse Buyers (Low Income, High Spend)"
59,Female,27,46,51,1,0,2,"Impulse Buyers (Low Income, High Spend)"
60,Male,53,46,46,0,0,2,"Impulse Buyers (Low Income, High Spend)"
61,Male,70,46,56,0,0,2,"Impulse Buyers (Low Income, High Spend)"
62,Male,19,46,55,0,0,2,"Impulse Buyers (Low Income, High Spend)"
63,Female,67,47,52,1,0,2,"Impulse Buyers (Low Income, High Spend)"
64,Female,54,47,59,1,0,2,"Impulse Buyers (Low Income, High Spend)"
65,Male,63,48,51,0,0,2,"Impulse Buyers (Low Income, High Spend)"
66,Male,18,48,59,0,0,2,"Impulse Buyers (Low Income, High Spend)"
67,Female,43,48,50,1,0,2,"Impulse Buyers (Low Income, High Spend)"
68,Female,68,48,48,1,0,2,"Impulse Buyers (Low Income, High Spend)"
69,Male,19,48,59,0,0,2,"Impulse Buyers (Low Income, High Spend)"
70,Female,32,48,47,1,0,2,"Impulse Buyers (Low Income, High Spend)"
71,Male,70,49,55,0,0,2,"Impulse Buyers (Low Income, High Spend)"
72,Female,47,49,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
73,Female,60,50,49,1,0,2,"Impulse Buyers (Low Income, High Spend)"
74,Female,60,50,56,1,0,2,"Impulse Buyers (Low Income, High Spend)"
75,Male,59,54,47,0,0,2,"Impulse Buyers (Low Income, High Spend)"
76,Male,26,54,54,0,0,2,"Impulse Buyers (Low Income, High Spend)"
77,Female,45,54,53,1,0,2,"Impulse Buyers (Low Income, High Spend)"
78,Male,40,54,48,0,0,2,"Impulse Buyers (Low Income, High Spend)"
79,Female,23,54,52,1,0,2,"Impulse Buyers (Low Income, High Spend)"
80,Female,49,54,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
81,Male,57,54,51,0,0,2,"Impulse Buyers (Low Income, High Spend)"
82,Male,38,54,55,0,0,2,"Impulse Buyers (Low Income, High Spend)"
83,Male,67,54,41,0,0,2,"Impulse Buyers (Low Income, High Spend)"
84,Female,46,54,44,1,0,2,"Impulse Buyers (Low Income, High Spend)"
85,Female,21,54,57,1,0,2,"Impulse Buyers (Low Income, High Spend)"
86,Male,48,54,46,0,0,2,"Impulse Buyers (Low Income, High Spend)"
87,Female,55,57,58,1,0,2,"Impulse Buyers (Low Income, High Spend)"
88,Female,22,57,55,1,0,2,"Impulse Buyers (Low Income, High Spend)"
89,Female,34,58,60,1,0,2,"Impulse Buyers (Low Income, High Spend)"
90,Female,50,58,46,1,0,2,"Impulse Buyers (Low Income, High Spend)"
91,Female,68,59,55,1,0,2,"Impulse Buyers (Low Income, High Spend)"
92,Male,18,59,41,0,0,2,"Impulse Buyers (Low Income, High Spend)"
93,Male,48,60,49,0,0,2,"Impulse Buyers (Low Income, High Spend)"
94,Female,40,60,40,1,0,2,"Impulse Buyers (Low Income, High Spend)"
95,Female,32,60,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
96,Male,24,60,52,0,0,2,"Impulse Buyers (Low Income, High Spend)"
97,Female,47,60,47,1,0,2,"Impulse Buyers (Low Income, High Spend)"
98,Female,27,60,50,1,0,2,"Impulse Buyers (Low Income, High Spend)"
99,Male,48,61,42,0,0,2,"Impulse Buyers (Low Income, High Spend)"
100,Male,20,61,49,0,0,2,"Impulse Buyers (Low Income, High Spend)"
101,Female,23,62,41,1,0,2,"Impulse Buyers (Low Income, High Spend)"
102,Female,49,62,48,1,0,2,"Impulse Buyers (Low Income, High Spend)"
103,Male,67,62,59,0,0,2,"Impulse Buyers (Low Income, High Spend)"
104,Male,26,62,55,0,0,2,"Impulse Buyers (Low Income, High Spend)"
105,Male,49,62,56,0,0,2,"Impulse Buyers (Low Income, High Spend)"
106,Female,21,62,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
107,Female,66,63,50,1,0,2,"Impulse Buyers (Low Income, High Spend)"
108,Male,54,63,46,0,0,2,"Impulse Buyers (Low Income, High Spend)"
109,Male,68,63,43,0,0,2,"Impulse Buyers (Low Income, High Spend)"
110,Male,66,63,48,0,0,2,"Impulse Buyers (Low Income, High Spend)"
111,Male,65,63,52,0,0,2,"Impulse Buyers (Low Income, High Spend)"
112,Female,19,63,54,1,0,2,"Impulse Buyers (Low Income, High Spend)"
113,Female,38,64,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
114,Male,19,64,46,0,0,2,"Impulse Buyers (Low Income, High Spend)"
115,Female,18,65,48,1,0,2,"Impulse Buyers (Low Income, High Spend)"
116,Female,19,65,50,1,0,2,"Impulse Buyers (Low Income, High Spend)"
117,Female,63,65,43,1,0,2,"Impulse Buyers (Low Income, High Spend)"
118,Female,49,65,59,1,0,2,"Impulse Buyers (Low Income, High Spend)"
119,Female,51,67,43,1,0,2,"Impulse Buyers (Low Income, High Spend)"
120,Female,50,67,57,1,0,2,"Impulse Buyers (Low Income, High Spend)"
121,Male,27,67,56,0,0,2,"Impulse Buyers (Low Income, High Spend)"
122,Female,38,67,40,1,0,2,"Impulse Buyers (Low Income, High Spend)"
123,Female,40,69,58,1,0,2,"Impulse Buyers (Low Income, High Spend)"
124,Male,39,69,91,0,1,3,"Premium Customers (High Income, High Spend)"
125,Female,23,70,29,1,3,4,"Conservative Affluent (High Income, Low Spend)"
126,Female,31,70,77,1,1,3,"Premium Customers (High Income, High Spend)"
127,Male,43,71,35,0,0,2,"Impulse Buyers (Low Income, High Spend)"
128,Male,40,71,95,0,1,3,"Premium Customers (High Income, High Spend)"
129,Male,59,71,11,0,3,4,"Conservative Affluent (High Income, Low Spend)"
130,Male,38,71,75,0,1,3,"Premium Customers (High Income, High Spend)"
131,Male,47,71,9,0,3,4,"Conservative Affluent (High Income, Low Spend)"
132,Male,39,71,75,0,1,3,"Premium Customers (High Income, High Spend)"
133,Female,25,72,34,1,0,2,"Impulse Buyers (Low Income, High Spend)"
134,Female,31,72,71,1,1,3,"Premium Customers (High Income, High Spend)"
135,Male,20,73,5,0,3,4,"Conservative Affluent (High Income, Low Spend)"
136,Female,29,73,88,1,1,3,"Premium Customers (High Income, High Spend)"
137,Female,44,73,7,1,3,4,"Conservative Affluent (High Income, Low Spend)"
138,Male,32,73,73,0,1,3,"Premium Customers (High Income, High Spend)"
139,Male,19,74,10,0,3,4,"Conservative Affluent (High Income, Low Spend)"
140,Female,35,74,72,1,1,3,"Premium Customers (High Income, High Spend)"
141,Female,57,75,5,1,3,4,"Conservative Affluent (High Income, Low Spend)"
142,Male,32,75,93,0,1,3,"Premium Customers (High Income, High Spend)"
143,Female,28,76,40,1,0,2,"Impulse Buyers (Low Income, High Spend)"
144,Female,32,76,87,1,1,3,"Premium Customers (High Income, High Spend)"
145,Male,25,77,12,0,3,4,"Conservative Affluent (High Income, Low Spend)"
146,Male,28,77,97,0,1,3,"Premium Customers (High Income, High Spend)"
147,Male,48,77,36,0,3,4,"Conservative Affluent (High Income, Low Spend)"
148,Female,32,77,74,1,1,3,"Premium Customers (High Income, High Spend)"
149,Female,34,78,22,1,3,4,"Conservative Affluent (High Income, Low Spend)"
150,Male,34,78,90,0,1,3,"Premium Customers (High Income, High Spend)"
151,Male,43,78,17,0,3,4,"Conservative Affluent (High Income, Low Spend)"
152,Male,39,78,88,0,1,3,"Premium Customers (High Income, High Spend)"
153,Female,44,78,20,1,3,4,"Conservative Affluent (High Income, Low Spend)"
154,Female,38,78,76,1,1,3,"Premium Customers (High Income, High Spend)"
155,Female,47,78,16,1,3,4,"Conservative Affluent (High Income, Low Spend)"
156,Female,27,78,89,1,1,3,"Premium Customers (High Income, High Spend)"
157,Male,37,78,1,0,3,4,"Conservative Affluent (High Income, Low Spend)"
158,Female,30,78,78,1,1,3,"Premium Customers (High Income, High Spend)"
159,Male,34,78,1,0,3,4,"Conservative Affluent (High Income, Low Spend)"
160,Female,30,78,73,1,1,3,"Premium Customers (High Income, High Spend)"
161,Female,56,79,35,1,3,4,"Conservative Affluent (High Income, Low Spend)"
162,Female,29,79,83,1,1,3,"Premium Customers (High Income, High Spend)"
163,Male,19,81,5,0,3,4,"Conservative Affluent (High Income, Low Spend)"
164,Female,31,81,93,1,1,3,"Premium Customers (High Income, High Spend)"
165,Male,50,85,26,0,3,4,"Conservative Affluent (High Income, Low Spend)"
166,Female,36,85,75,1,1,3,"Premium Customers (High Income, High Spend)"
167,Male,42,86,20,0,3,4,"Conservative Affluent (High Income, Low Spend)"
168,Female,33,86,95,1,1,3,"Premium Customers (High Income, High Spend)"
169,Female,36,87,27,1,3,4,"Conservative Affluent (High Income, Low Spend)"
170,Male,32,87,63,0,1,3,"Premium Customers (High Income, High Spend)"
171,Male,40,87,13,0,3,4,"Conservative Affluent (High Income, Low Spend)"
172,Male,28,87,75,0,1,3,"Premium Customers (High Income, High Spend)"
173,Male,36,87,10,0,3,4,"Conservative Affluent (High Income, Low Spend)"
174,Male,36,87,92,0,1,3,"Premium Customers (High Income, High Spend)"
175,Female,52,88,13,1,3,4,"Conservative Affluent (High Income, Low Spend)"
176,Female,30,88,86,1,1,3,"Premium Customers (High Income, High Spend)"
177,Male,58,88,15,0,3,4,"Conservative Affluent (High Income, Low Spend)"
178,Male,27,88,69,0,1,3,"Premium Customers (High Income, High Spend)"
179,Male,59,93,14,0,3,4,"Conservative Affluent (High Income, Low Spend)"
180,Male,35,93,90,0,1,3,"Premium Customers (High Income, High Spend)"
181,Female,37,97,32,1,3,4,"Conservative Affluent (High Income, Low Spend)"
182,Female,32,97,86,1,1,3,"Premium Customers (High Income, High Spend)"
183,Male,46,98,15,0,3,4,"Conservative Affluent (High Income, Low Spend)"
184,Female,29,98,88,1,1,3,"Premium Customers (High Income, High Spend)"
185,Female,41,99,39,1,3,4,"Conservative Affluent (High Income, Low Spend)"
186,Male,30,99,97,0,1,3,"Premium Customers (High Income, High Spend)"
187,Female,54,101,24,1,3,4,"Conservative Affluent (High Income, Low Spend)"
188,Male,28,101,68,0,1,3,"Premium Customers (High Income, High Spend)"
189,Female,41,103,17,1,3,4,"Conservative Affluent (High Income, Low Spend)"
190,Female,36,103,85,1,1,3,"Premium Customers (High Income, High Spend)"
191,Female,34,103,23,1,3,4,"Conservative Affluent (High Income, Low Spend)"
192,Female,32,103,69,1,1,3,"Premium Customers (High Income, High Spend)"
193,Male,33,113,8,0,3,4,"Conservative Affluent (High Income, Low Spend)"
194,Female,38,113,91,1,1,3,"Premium Customers (High Income, High Spend)"
195,Female,47,120,16,1,3,4,"Conservative Affluent (High Income, Low Spend)"
196,Female,35,120,79,1,1,3,"Premium Customers (High Income, High Spend)"
197,Female,45,126,28,1,3,4,"Conservative Affluent (High Income, Low Spend)"
198,Male,32,126,74,0,1,3,"Premium Customers (High Income, High Spend)"
199,Male,32,137,18,0,3,4,"Conservative Affluent (High Income, Low Spend)"
200,Male,30,137,83,0,1,3,"Premium Customers (High Income, High Spend)"
